Diseases,Symptoms,Treatment
Apple___Apple_scab,Pale yellow or olive-green spots on the upper surface of leaves.,"1.Choose resistant varieties when possible.
2.Rake under trees and destroy infected leaves to reduce the number of fungal spores available to start the disease cycle over again next spring.
3.Water in the evening or early morning hours (avoid overhead irrigation) to give the leaves time to dry out before infection can occur.
4.Spread a 3- to 6-inch layer of compost under trees, keeping it away from the trunk, to cover soil and prevent splash dispersal of the fungal spores.
5.For best control, spray liquid copper soap early, two weeks before symptoms normally appear. Alternatively, begin applications when disease first appears, and repeat at 7 to 10 day intervals up to blossom drop."
Apple___Black_rot,Large brown rotten areas.,"1.Prune out dead or diseased branches.
2.Pick all dried and shriveled fruits remaining on the trees.
3.Remove infected plant material from the area.
4.All infected plant parts should be burned, buried or sent to a municipal composting site.
5.Be sure to remove the stumps of any apple trees you cut down. Dead stumps can be a source of spores."
Apple___Cedar_apple_rust,Pale yellow pinhead sized spots on the upper surface of the leaves shortly after bloom.,"1.Rake up and dispose of fallen leaves and other debris from under trees.
2.Remove galls from infected junipers. In some cases, juniper plants should be removed entirely.
3.Apply preventative, disease-fighting fungicides labeled for use on apples weekly, starting with bud break, to protect trees from spores being released by the juniper host. This occurs only once per year, so additional applications after this springtime spread are not necessary.
4.On juniper, rust can be controlled by spraying plants with a copper solution (0.5 to 2.0 oz/ gallon of water) at least four times between late August and late October.                                                                                                                    5.Safely treat most fungal and bacterial diseases with SERENADE Garden. This broad spectrum bio-fungicide uses a patented strain of Bacillus subtilis that is registered for organic use. Best of all, SERENADE is completely non-toxic to honey bees and beneficial insects."
Apple___healthy,No Symptoms, No treatment required. Plant is healthy.
Blueberry___healthy,No Symptoms, No treatment required. Plant is healthy.
Cherry_(including_sour)___Powdery_mildew,Raised blister-like areas.,"Powdery mildew is most important during summers with hot, dry
weather. The fungal pathogen requires little moisture for spore germination and growth on leaf
surfaces. As little moisture as that present from high humidity from fog can stimulate spore
germination and growth; intermittent rains can provide enough moisture to initiate epidemics.
Powdery mildew typically is first seen on the underside of leaves and so orchard scouting is
important for initial disease detection.Conditions suitable for powdery mildew are less favorable
for cherry leaf spot and brown rot. Thus, during hot, dry summers, growers are apt to spray less
fungicides for disease control, resulting in less suppression of powdery mildew. In years
favorable for leaf spot and brown rot, mildew is typically less of a problem in part because
growers are spraying more frequently."
Cherry_(including_sour)___healthy,No Symptoms, No treatment required. Plant is healthy.
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Small necrotic(dead) spots with chlorotic halos on leaves.,"1.Cercospora zeae-maydis overwinters in corn debris, so production practices such as tillage and crop rotation that reduce the amount corn residue on the surface will decrease the amount of primary inoculum.
2.Crop rotation away from corn can reduce disease pressure, but multiple years may be necessary in no-till scenarios.                                                                         3.Planting hybrids with a high level of genetic resistance can help reduce the risk of yield loss due to gray leaf spot infection.                                                                                4.During the growing season, foliar fungicides can be used to manage gray leaf spot outbreaks.
5.Farmers must consider the cost of the application and market value of their corn before determining if fungicides will be an economical solution to GLS."
Corn_(maize)___Common_rust_,Oval to elongate cinnamon brown pustules scattered over upper and lower surfaces of the leaves.,"1.Maize rusts are generally controlled by the use of resistant maize hybrids, and by foliar applications of fungicides on sweet corn.                                                       2.The use of resistant varieties is the best way of managing rust diseases. Two types of resistance exist: partial resistant and qualitative resistance. Partial resistance (or tolerance) results in fewer pustules, reduced sporulation, and lower germination rates. Disease spread and the development of epidemics are slower. Qualitative resistance is based on single genes providing total resistance. The trouble with this kind of resistance is that it may encourage the selection of new strains of the rust that can overcome varietal resistance."
Corn_(maize)___Northern_Leaf_Blight,Cigar-shaped or elliptical necrotic gray-green lesions on the leaves that range from one to seven inches long.,"1.The primary management strategy to reduce the incidence and severity of NCLB is planting resistant products.
2.Two types of resistance to NCLB exist in corn. Polygenic (multiple gene) resistance is expressed in plants as a reduction in lesion size, lesion number and sporulation, and a longer latent period before conidia are produced. Monogenic (single gene) resistance is controlled by a single dominant gene and can be expressed as chlorotic lesions with decreased sporulation.
3.A combination of rotating away from corn for one year followed by tillage is recommended to prevent the development of NCLB. Rotating to a non-host crop can reduce disease levels by allowing the corn debris on which the fungus survives to decompose before corn is planted again. Burying residue may help reduce infection levels by decreasing the amount of primary inoculum available in the spring. In no-till and reduced-tillage fields with a history of NCLB, a two-year rotation away from corn may be necessary. "
Corn_(maize)___healthy,No Symptoms, No treatment required. Plant is healthy.
Grape___Black_rot,"Relatively small, brown circular lesions develop on infected leaves.","1.Mancozeb, and Ziram are all highly effective against black rot. Because these fungicides are strictly protectants, they must be applied before the fungus infects or enters the plant. They protect fruit and foliage by preventing spore germination. They will not arrest lesion development after infection has occurred.                                                      2.Sanitation is extremely important. Destroy mummies, remove diseased tendrils
from the wires, and select fruiting canes without lesions. It is very important not
to leave mummies attached to the vine.                           3.Plant grapes in sunny open areas that allow good air movement. If your vines are
planted under trees in the shade where they do not get all day sunlight, black rot
will be much more difficult to control. Shaded areas keep the leaves and fruits
from drying and provide excellent conditions for black rot infection and disease
development."
